City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
0,Leer,SS,79.5,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
1,Port Hardy,CA,51.8,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
3,Ushuaia,AR,44.22,few clouds,-54.8,-68.3,Albatross Hotel
4,Armidale,AU,43.63,broken clouds,-30.5167,151.65,Abbotsleigh Motor Inn
5,Mayumba,GA,78.4,broken clouds,-3.432,10.6554,LIKWALE LODGE
7,Portland,US,56.86,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
8,Port Alfred,ZA,62.15,few clouds,-33.5906,26.891,The Halyards Hotel
10,San Jerónimo,PE,63.01,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
11,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
13,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
14,Châtellerault,FR,65.55,scattered clouds,46.8,0.5333,La Gourmandine
16,Hong Kong,HK,77.97,light rain,22.2855,114.1577,Mini Central
17,Airai,TL,57.06,broken clouds,-8.9266,125.4092,
18,São Filipe,CV,72.48,few clouds,14.8961,-24.4956,Hotel Xaguate
21,Sept-Îles,CA,46.92,few clouds,50.2001,-66.3821,Comfort Inn
22,Limulunga,ZM,64.89,clear sky,-15.0969,23.1376,Acamms Gardens
23,Gaziantep,TR,60.73,few clouds,37.0594,37.3825,Novotel Gaziantep
24,Alice Springs,AU,45.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
26,Albany,US,72.63,clear sky,42.6001,-73.9662,
27,Kulu,TR,51.42,scattered clouds,39.0951,33.0799,Kapadokya Motel
28,Faya,SA,69.91,light rain,18.3851,42.4509,املاك خالد الشعشوع
29,Middletown,US,79.0,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
31,Pacific Grove,US,62.28,clear sky,36.6177,-121.9166,Lovers Point Inn
35,Mar del Plata,AR,55.87,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Dingle,PH,77.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
39,Punta Arenas,CL,48.22,few clouds,-53.15,-70.9167,Hotel Hain
41,Castro,BR,61.14,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
43,Hervey Bay,AU,68.02,light rain,-25.2986,152.8535,Shelly Bay Resort
44,Jamestown,US,74.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
46,Bengkulu,ID,77.83,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
47,Buchanan,LR,79.52,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
48,Busselton,AU,55.71,broken clouds,-33.65,115.3333,Observatory Guest House
