City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Current Description
Leer,SS,79.5,66,96,4.27,8.3018,30.1418,overcast clouds
Port Hardy,CA,51.8,81,75,8.05,50.6996,-127.4199,broken clouds
Uvalde,US,97.32,28,0,13.27,29.3669,-99.767,clear sky
Ushuaia,AR,44.22,81,20,19.57,-54.8,-68.3,few clouds
Armidale,AU,43.63,95,79,8.43,-30.5167,151.65,broken clouds
Mayumba,GA,78.4,92,66,6.06,-3.432,10.6554,broken clouds
Husavik,IS,37.94,97,100,9.08,66.0449,-17.3389,overcast clouds
Portland,US,56.86,62,75,8.01,45.5234,-122.6762,broken clouds
Port Alfred,ZA,62.15,78,14,4.99,-33.5906,26.891,few clouds
Pangnirtung,CA,24.8,86,75,18.41,66.1451,-65.7125,broken clouds
San Jerónimo,PE,63.01,45,54,1.05,-11.9472,-75.2829,broken clouds
Mataura,NZ,49.48,96,96,1.07,-46.1927,168.8643,overcast clouds
La Santisima Trinidad,BO,91.38,52,20,5.75,-14.8333,-64.9,few clouds
Sibu,MY,77.31,94,40,0.0,2.3,111.8167,scattered clouds
Châtellerault,FR,65.55,66,41,4.32,46.8,0.5333,scattered clouds
George Town,MY,85.95,93,40,2.3,5.4112,100.3354,scattered clouds
Hong Kong,HK,77.97,91,100,10.0,22.2855,114.1577,light rain
Airai,TL,57.06,71,67,2.68,-8.9266,125.4092,broken clouds
São Filipe,CV,72.48,82,12,9.51,14.8961,-24.4956,few clouds
Tasiilaq,GL,31.82,65,94,4.85,65.6145,-37.6368,overcast clouds
Avarua,CK,81.34,78,65,13.58,-21.2078,-159.775,light rain
Sept-Îles,CA,46.92,53,20,8.05,50.2001,-66.3821,few clouds
Limulunga,ZM,64.89,42,0,5.68,-15.0969,23.1376,clear sky
Gaziantep,TR,60.73,39,20,9.22,37.0594,37.3825,few clouds
Alice Springs,AU,45.95,66,0,6.91,-23.7,133.8833,clear sky
Lavrentiya,RU,29.19,79,8,4.32,65.5833,-171.0,clear sky
Albany,US,72.63,30,0,9.78,42.6001,-73.9662,clear sky
Kulu,TR,51.42,59,39,6.93,39.0951,33.0799,scattered clouds
Faya,SA,69.91,59,41,6.87,18.3851,42.4509,light rain
Middletown,US,79.0,45,0,14.97,39.5151,-84.3983,clear sky
Katangli,RU,32.65,96,100,7.45,51.7102,143.2326,overcast clouds
Pacific Grove,US,62.28,54,0,14.97,36.6177,-121.9166,clear sky
El Fuerte,MX,100.54,13,1,12.97,26.4189,-108.6194,clear sky
Hilo,US,82.27,61,20,5.75,19.7297,-155.09,few clouds
Tuktoyaktuk,CA,39.2,65,100,11.5,69.4541,-133.0374,overcast clouds
Mar del Plata,AR,55.87,81,75,12.66,-38.0023,-57.5575,broken clouds
Dingle,PH,77.25,89,100,7.05,10.9995,122.6711,overcast clouds
Bandarbeyla,SO,82.51,85,80,4.36,9.4942,50.8122,light rain
Chokurdakh,RU,25.07,96,100,11.25,70.6333,147.9167,light snow
Punta Arenas,CL,48.22,76,20,26.46,-53.15,-70.9167,few clouds
Sulangan,PH,82.13,78,100,12.75,11.1373,123.7228,overcast clouds
Castro,BR,61.14,82,85,4.59,-24.7911,-50.0119,overcast clouds
Bagdarin,RU,28.89,52,100,8.55,54.4333,113.6,overcast clouds
Hervey Bay,AU,68.02,94,100,4.0,-25.2986,152.8535,light rain
Jamestown,US,74.05,20,0,4.61,42.097,-79.2353,clear sky
Praia,CV,73.94,73,75,18.41,14.9215,-23.5087,broken clouds
Bengkulu,ID,77.83,83,92,2.82,-3.8004,102.2655,light rain
Buchanan,LR,79.52,83,36,7.16,5.8808,-10.0467,scattered clouds
Busselton,AU,55.71,88,53,2.17,-33.65,115.3333,broken clouds
